Calendar Year,Scenario,Fuel Type,Output, Value 
2022,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 11,772,222 "
2022,Dispatchable Dominant,Cogeneration,Generation_MWh," 34,515,502 "
2022,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 18,019,536 "
2022,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,911,329 "
2022,Dispatchable Dominant,Net Imports,Generation_MWh," 2,365,190 "
2022,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh, -   
2022,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh, -   
2022,Dispatchable Dominant,Other,Generation_MWh," 2,535,817 "
2022,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 4,995,878 "
2022,Dispatchable Dominant,Solar,Generation_MWh," 1,260,546 "
2022,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2022,Dispatchable Dominant,Wind,Generation_MWh," 9,271,405 "
2023,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 15,850,110 "
2023,Dispatchable Dominant,Cogeneration,Generation_MWh," 34,648,781 "
2023,Dispatchable Dominant,Coal to Gas - Steam Boiler,Generation_MWh," 12,118,892 "
2023,Dispatchable Dominant,Hydroelectric,Generation_MWh," 1,910,764 "
2023,Dispatchable Dominant,Net Imports,Generation_MWh," 2,028,569 "
2023,Dispatchable Dominant,Combined-Cycle with CCUS,Generation_MWh, -   
2023,Dispatchable Dominant,Hydrogen Simple Cycle,Generation_MWh, -   
2023,Dispatchable Dominant,Other,Generation_MWh," 2,564,638 "
2023,Dispatchable Dominant,Natural Gas Simple-Cycle,Generation_MWh," 4,431,833 "
2023,Dispatchable Dominant,Solar,Generation_MWh," 2,516,181 "
2023,Dispatchable Dominant,Storage - Battery,Generation_MWh, -   
2023,Dispatchable Dominant,Wind,Generation_MWh," 11,941,839 "
2024,Dispatchable Dominant,Natural Gas Combined-Cycle,Generation_MWh," 16,781,837 "
