Contract Type,Contract Capacity (MW),Facility Name,Supplier Legal Name,Contract Status,Contract Term (Yrs),Milestone Commercial Operation Date,Term Start Date,Term End Date,Fuel Group,Technology,Fuel Type,Connection Type,Closest City/Town,Upper Municipality,IESO Zone,Regional Planning Zone
LESA,2000,Lennox Generating Station,Ontario Power Generation Inc.,CO,7,01-Oct-22,01-Oct-22,30-Apr-29,Gas,Rankine Cycle,Natural Gas,Tx,Stella,Lennox and Addington,East,Northwest Ontario
CES,1005,Greenfield Energy Centre,Greenfield Energy Centre LP,CO,27,12-Feb-08,16-Oct-08,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Courtright,Lambton,West,Greater Bruce/Huron
CES,900,Napanee Generating Station,Portlands Energy Centre L.P.,CO,20,31-Dec-18,13-Mar-20,12-Mar-40,Gas,Combined Cycle,Natural Gas,Tx,Bath,Lennox and Addington,East,Greater Bruce/Huron
ACES,839.1,Goreway Station,Goreway Station Partnership,CO,26,01-Jul-08,04-Jun-09,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Brampton,Peel,Toronto,Greater Bruce/Huron
ABPRIA,825,Bruce Unit 7,Bruce Power LP,CO,48,,01-Jan-16,31-Dec-63,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,823,Bruce Unit 1,Bruce Power LP,CO,31,,22-Oct-12,31-Dec-43,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,823,Bruce Unit 2,Bruce Power LP,CO,31,,31-Oct-12,31-Dec-43,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,822,Bruce Unit 5,Bruce Power LP,CO,47,,01-Jan-16,31-Dec-62,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,817,Bruce Unit 6,Bruce Power LP,CO,43,,01-Jan-16,31-Dec-58,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Greater Bruce/Huron
ABPRIA,817,Bruce Unit 8,Bruce Power LP,CO,48,,01-Jan-16,31-Dec-63,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,GTA West
ABPRIA,816,Bruce Unit 3,Bruce Power LP,CO,56,,31-Oct-05,31-Dec-61,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,GTA West
ABPRIA,806,Bruce Unit 4,Bruce Power LP,CO,57,,31-Oct-05,31-Dec-62,Nuclear,Rankine Cycle CANDU Reactor,Uranium,Tx,Tiverton,Bruce,Bruce,Toronto
ACES,641.5,Halton Hills Generating Station,Portlands Energy Centre L.P.,CO,25,10-May-10,01-Sep-10,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Halton Hills,Halton,Toronto,Toronto
CES,577,St. Clair Energy Centre,St. Clair Power LP,CO,26,12-Feb-08,30-Mar-09,30-Apr-35,Gas,Combined Cycle,Natural Gas,Tx,Corunna,Lambton,West,GTA West
ACES,550,Portlands Energy Centre,Portlands Energy Centre L.P.,CO,25,01-Jun-09,22-Apr-09,21-Apr-34,Gas,Combined Cycle,Natural Gas,Tx,Toronto,Toronto,Toronto,GTA West
EMCES,541.25,Brighton Beach Power Station,Shell Energy North America (Canada) Inc.,CO,15,,30-Sep-09,15-Jul-24,Gas,Combined Cycle,Natural Gas,Tx,Windsor,Essex,West,Chatham/Lambton/Sarnia
EMCES,444,Sarnia Cogeneration Plant,"TransAlta Generation Partnership, an Alberta General Partnership of TransAlta Generation Ltd. And TransAlta Corporation",CO,17,,01-Jul-09,30-Apr-26,Gas,Combined Cycle CHP,Natural Gas,Tx,Sarnia,Lambton,West,Chatham/Lambton/Sarnia
LT1,405,Napanee Generating Station Expansion,Portlands Energy Centre L.P. (doing business as Atura Power),UD,12,01-May-28,,,Gas,Simple Cycle,Natural Gas,Tx,,,East,Chatham/Lambton/Sarnia
NYRP,393,York Energy Centre,York Energy Centre LP,CO,23,31-Dec-11,09-May-12,30-Apr-35,Gas,Simple Cycle,Natural Gas,Tx,Newmarket,York,Essa,Chatham/Lambton/Sarnia
LT1,390,Skyview 2 Battery Energy Storage Project,Skyview BESS Limited Partnership,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,East,Chatham/Lambton/Sarnia
LT1,380,Grey Owl Storage,Shift Solar Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Bruce,Peterborough to Kingston
CES,314,Green Electron Power Plant,Greenfield South Power Corporation,CO,20,01-Sep-17,15-Mar-17,14-Mar-37,Gas,Combined Cycle,Natural Gas,Tx,Courtright,Lambton,West,Greater Ottawa
FIT 1,300,Nigig Power Corporation,Henvey Inlet Wind LP,CO,20,25-Feb-18,09-Sep-19,08-Sep-39,Renewables,Wind - On-Shore,Wind,Tx,Pickerel,Parry Sound,Essa,Greater Ottawa
E-LT1,285,Hagersville Battery Energy Storage Park ,Hagersville Battery Storage Inc,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Hagersville,Haldimand,Southwest,GTA East
GEIA,270,South Kent Wind Project,South Kent Wind LP,CO,20,02-Sep-14,28-Mar-14,27-Mar-34,Renewables,Wind Turbine,Wind,Tx,Blenheim,Chatham-Kent,West,GTA North
GEIA,270,K2,K2 Wind Ontario Limited Partnership,CO,20,03-Jul-15,29-May-15,28-May-35,Renewables,Wind Turbine,Wind,Tx,Dungannon,Huron,Bruce,Windsor-Essex
HESA,267.9,Smoky Falls GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,31-Dec-15,30-Sep-14,29-Sep-64,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,London Area
E-LT1,250,Napanee Energy Storage,Napanee BESS Inc.,UD,21,31-May-26,,,Storage,Battery Energy Storage System,Battery,Tx,Bath,Lennox and Addington,East,East Lake Superior
LT1,250,Fitzroy BESS,Fitzroy BESS Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Ottawa,Windsor-Essex
OND,250,Oneida Energy Storage,Oneida Storage LP,UD,20,21-Jun-25,,,Storage,Battery Energy Storage System,Battery,Tx,Nanticoke,Haldimand,Southwest,Niagara
CHP I,241.6,Thorold Cogeneration Project,Thorold CoGen L.P.,CO,25,31-May-10,28-Mar-10,30-Apr-35,Gas,Combined Cycle CHP,Natural Gas,Tx,St. Catharines,Niagara,Niagara,Niagara
HCI,239,Wells GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Thessalon,Algoma,Northeast,Northwest Ontario
HESA,235.2,Harmon GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,Northwest Ontario
HESA,235,Kipling GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Val Rita,Cochrane,Northeast,Toronto
FIT 1,230,Niagara Region Wind Farm,FWRN LP,CO,20,08-Jun-14,02-Nov-16,01-Nov-36,Renewables,Wind - On-Shore,Wind,Tx,Wellandport,Niagara,Southwest,GTA North
HESA,207.5,Little Long GS - Lower Mattagami,Lower Mattagami Energy Limited Partnership and Lower Mattagami Limited Partnership,CO,50,,22-Jun-10,21-Jun-60,Renewables,Hydroelectricity,Waterpower,Tx,Kapuskasing,Cochrane,Northeast,GTA North
ABESA,205,Atikokan Generating Station,Ontario Power Generation Inc.,CO,10,30-Jun-14,24-Jul-14,23-Jul-24,Renewables,Rankine Cycle,Biomass,Tx,Atikokan,Rainy River,Northwest,Niagara
LT1,200,Hedley BESS,Hedley BESS LP,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Southwest,GTA North
LT1,200,Elora BESS,Elora BESS LP,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Southwest,Windsor-Essex
RES II,197.8,Wolfe Island Wind,Melancthon Wolfe Wind LP,CO,20,31-Oct-08,26-Jun-09,25-Jun-29,Renewables,Wind Turbine,Wind,Tx,Wolfe Island,Frontenac,East,Niagara
E-LT1,195,Hydrogen Ready Power Plant,Greenfield South Power Inc.,UD,14,31-May-26,,,Gas,Simple Cycle,Natural Gas,Tx,Courtright,Lambton,West,Chatham/Lambton/Sarnia
RES II,181.5,Enbridge Ontario Wind Power,Enbridge Renewable Energy Infrastructure LP,CO,20,31-Oct-09,19-Feb-09,18-Feb-29,Renewables,Wind Turbine,Wind,Tx,Kincardine,Bruce,Southwest,London Area
GEIA,180,Armow Wind Project,Sp Armow Wind Ontario LP,CO,20,07-Dec-15,07-Dec-15,06-Dec-35,Renewables,Wind Turbine,Wind,Tx,Kincardine,Bruce,Southwest,GTA North
HCI,162,Aubrey Falls GS,Brookfield BRP Canada Corp.,CO,20,01-Dec-09,01-Dec-09,01-Dec-29,Renewables,Hydroelectricity,Waterpower,Tx,Elliot Lake,Algoma,Northeast,Burlington to Nanticoke
NUG,156.34,Cardinal Power Plant,Cardinal Power LP,CO,20,01-Jan-15,01-Jan-15,31-Dec-34,Gas,Combined Cycle CHP,Natural Gas,Tx,Cardinal,Leeds and Grenville,East,Windsor-Essex
FIT 1,150,Jericho Wind Energy Centre,"Jericho Wind, LP",CO,20,22-Nov-14,22-Nov-14,21-Nov-34,Renewables,Wind - On-Shore,Wind,Tx,Thedford,Lambton,Bruce,Burlington to Nanticoke
LT1,150,Trail Road BESS,Trailroad BESS Inc.,UD,20,01-May-28,,,Storage,Battery Energy Storage System,Battery,Tx,,,Ottawa,Burlington to Nanticoke
GEIA,148.6,Grand Renewable Energy Park,Grand Renewable Wind LP,CO,20,25-Sep-14,09-Dec-14,08-Dec-34,Renewables,Wind Turbine,Wind,Tx,Cayuga,Haldimand,Southwest,Toronto
