Plant,MWh Capacity,Province,Type of plant,CO,Cogeneration,bruh
Balzac Gas Power Station Canada,120,Alberta,CC,SC,Simple Cycle,eq. to Open Cycle
Bear Creek Cogeneration CCGT Power Plant Canada,80,Alberta,CO,CC,Combined Cycle,
"Burdett Alberta Power Project, Canada",7.42,Alberta,X,X,Not described or other,
Carseland Cogeneration Plant Canada,80,Alberta,CO,,,
"Coaldale Alberta Power Project, Canada",6.36,Alberta,X,,,
Fort McLeod Alberta Power Project Canada,7.42,Alberta,X,,,
Joffre Cogeneration CCGT Power Plant Canada,480,Alberta,CO,,,
MacKay River Cogeneration Power Plant Canada,165,Alberta,CO,,,
Meridian Cogeneration Power Plant Canada,220,Alberta,CO,,,
Muskeg River Cogeneration CCGT Power Plant Canada,170,Alberta,CO,,,
Poplar Creek Cogen CCGT Power Plant,370,Alberta,X,,,
Poplar Hill OCGT Generating Plant Canada,45,Alberta,SC,,,
"Primrose Cogeneration Plant, Canada",85,Alberta,X,,,
Rainbow Lake (Units 4 and 5) Cogeneration Power Station Canada,90,Alberta,CO,,,
Rainbow Lake OCGT Power Generaing Station Canada,88,Alberta,X,,,
Redwater Cogeneration Power Plant Canada,40,Alberta,CO,,,
Scotford ATCO Cogeneration CCGT Power Plant Canada,170,Alberta,CO,,,
Taber Alberta Power Project Canada,8.48,Alberta,X,,,
Valleyview 1 and 2 Generating Station Canada,90,Alberta,X,,,
Calgary Energy Center CCGT Power Plant Canada,300,Alberta,CC,,,
Scotford Air Liquide Cogen Power Plant Canada,80,Alberta,CO,,,
Cavalier Cogen CCGT Power Plant canada,120,Alberta,CO,,,
City of Medicine Hat CCGT Power Plant Canada,46,Alberta,CC,,,
Foster Creek Cogeneration Gas Power Plant Canada,80,Alberta,CO,,,
Fort Sasketchewan Cogeneration Gas Power Plant Canada,118,Alberta,CO,,,
Sturgeon OCGT Power Plant Canada,18,Alberta,SC,,,
Clover Bar Energy Center Power Plant Canada,243,Alberta,SC,,,
University of Alberta CHP Power Plant Canada,39.7,Alberta,X,,,
Island Cogen CCGT Power Plant Canada,250,British Columbia,CO,,,
McMahon Cogeneration GT Power Plant Canada,120,British Columbia,SC,,,
Burrard Generating Station Canada,950,British Columbia,CO,,,
Fort Nelson Generating Station Canada,47,British Columbia,SC,,,
Prince Rupert Generating Station Canada,46,British Columbia,SC,,,
Brandon OCGT Power Plant Canada,260,Manitoba,SC,,,
Selkirk Gas Generating Station Canada,126,Manitoba,X,,,
Tracadie (Ste.-Rose) OCGT Power Plant Canada,100,New Brunswick,X,,,
Bayside Power CCGT Power Plant Canada,260,New Brunswick,CC,,,
Goldboro Gas Power Plant Canada,202,Nova Scotia,X,,,
Brighton Beach CCGT Generation Plant Canada,570,Ontario,CC,,,
GTAA Pearson Airport Cogeneration Complex Canada,117,Ontario,CC,,,
Mississauga Cogeneration Plant Canada,108,Ontario,CO,,,
Ottawa Health Sciences Centre Cogeneration Plant Canada,68,Ontario,CO,,,
Sarnia Regional Cogeneration CCGT Power Plant Canada,575,Ontario,CC,,,
Tunis Power Plant Canada,43,Ontario,CC,,,
West Windsor (Suez) CCGT Power Plant Canada,111,Ontario,CC,,,
Windsor Essex Cogen CCGT Power Station Canada,68,Ontario,CO,,,
Cardinal Cogeneration CCGT Power Plant Canada,160,Ontario,CO,,,
Cochrane CCGT Generating Station canada,35.8,Ontario,CO,,,
Kirkland Lake CCGT Cogen Power Station Canada,102,Ontario,CO,,,
Lake Superior CCGT Cogen Power Station Canada,110,Ontario,CO,,,
Kapuskasing CCGT Power Plant Canada,40,Ontario,CC,,,
Kingston Cogeneration CCGT Power Plant Canada,100,Ontario,X,,,
Portlands Energy Centre CCGT Power Plant Canada,550,Ontario,CC,,,
Whitby Cogeneration OCGT Power Plant Canada,50,Ontario,CO,,,
Iroquois Falls CCGT Co-generating Station Canada,110,Ontario,CO,,,
Greenfield Energy Center CCGT Power Plant Canada,1030,Ontario,CC,,,
East Windsor Cogen Power Plant Canada,84,Ontario,CO,,,
Goreway CCGT Power Plant Canada,875,Ontario,CC,,,
St Clair Energy Center CCGT Power Plant Canada,615,Ontario,CC,,,
Nipigon CCGT Power Plant Canada,40,Ontario,CC,,,
North Bay CCGT Power Plant Canada,40,Ontario,CC,,,
Essar Power Sault Ste Marie Cogen Power Plant Canada,85,Ontario,CO,,,
Halton Hills CCGT Generating Station Canada,641.5,Ontario,CC,,,
Thorold Cogen Power Plant Canada,265,Ontario,CC,,,
York Energy Centre Power Plant Canada,456,Ontario,SC,,,
Becancour Cogeneration Power Plant Canada,550,Quebec,CO,,,
Cadillac Gas Generating Station Canada,162,Quebec,SC,,,
La Citiere Gas Generating Station Canada,309,Quebec,SC,,,
Centrale de Cogeneration de Kingsey Falls Power Plant Canada,45,Quebec,X,,,
Becancour OCGT Power Plant Canada,411,Quebec,SC,,,
Cory Cogeneration CCGT Station Canada,260,Saskatchewan,CO,,,
Landis Gas Power Station Canada,79,Saskatchewan,SC,,,
Meadow Lake Gas Power Station Canada,44,Saskatchewan,SC,,,
Queen Elizabeth Gas Power Station Canada,386,Saskatchewan,CC,,,
Success OCGT Power Station Canada,30,Saskatchewan,SC,,,
Meridian Cogeneration Power Plant Canada,220,Saskatchewan,CO,,,
Ermine Gas OCGT Power Station Canada,94,Saskatchewan,SC,,,
Yellowhead OCGT Generating Station Canada,138,Saskatchewan,SC,,,
